source	target	prediction
zelda likes patricia <eos>	like ( zelda , patricia ) <eos>	like ( zelda , patricia ) <eos>
francis throws himself <eos>	throw ( francis , francis ) <eos>	throw ( francis , francis ) <eos>
tracy likes henry <eos>	like ( tracy , henry ) <eos>	like ( tracy , henry ) <eos>
claire sees katherine <eos>	see ( claire , katherine ) <eos>	see ( claire , katherine ) <eos>
ursula sees alice <eos>	see ( ursula , alice ) <eos>	see ( ursula , alice ) <eos>
eliza notices eliza <eos>	notice ( eliza , eliza ) <eos>	notice ( eliza , eliza ) <eos>
claire sees herself <eos>	see ( claire , claire ) <eos>	see ( claire , claire ) <eos>
zelda likes tracy <eos>	like ( zelda , tracy ) <eos>	like ( zelda , tracy ) <eos>
ursula knows victor <eos>	know ( ursula , victor ) <eos>	know ( ursula , victor ) <eos>
isla likes katherine <eos>	like ( isla , katherine ) <eos>	like ( isla , katherine ) <eos>
rachael notices bob <eos>	notice ( rachael , bob ) <eos>	notice ( rachael , bob ) <eos>
katherine likes katherine <eos>	like ( katherine , katherine ) <eos>	like ( katherine , katherine ) <eos>
rachael notices xerxes <eos>	notice ( rachael , xerxes ) <eos>	notice ( rachael , xerxes ) <eos>
grace dislikes samuel <eos>	dislike ( grace , samuel ) <eos>	dislike ( grace , samuel ) <eos>
lewis meets lewis <eos>	meet ( lewis , lewis ) <eos>	meet ( lewis , lewis ) <eos>
isla dislikes quinn <eos>	dislike ( isla , quinn ) <eos>	dislike ( isla , quinn ) <eos>
ursula likes herself <eos>	like ( ursula , ursula ) <eos>	like ( ursula , ursula ) <eos>
katherine throws lewis <eos>	throw ( katherine , lewis ) <eos>	throw ( katherine , lewis ) <eos>
winnifred throws katherine <eos>	throw ( winnifred , katherine ) <eos>	throw ( winnifred , katherine ) <eos>
francis throws margaret <eos>	throw ( francis , margaret ) <eos>	throw ( francis , margaret ) <eos>
xerxes dislikes zelda <eos>	dislike ( xerxes , zelda ) <eos>	dislike ( xerxes , zelda ) <eos>
claire throws francis <eos>	throw ( claire , francis ) <eos>	throw ( claire , francis ) <eos>
claire throws ursula <eos>	throw ( claire , ursula ) <eos>	throw ( claire , ursula ) <eos>
neha notices eliza <eos>	notice ( neha , eliza ) <eos>	notice ( neha , eliza ) <eos>
francis meets rachael <eos>	meet ( francis , rachael ) <eos>	meet ( francis , rachael ) <eos>
patricia dislikes quinn <eos>	dislike ( patricia , quinn ) <eos>	dislike ( patricia , quinn ) <eos>
lewis dislikes john <eos>	dislike ( lewis , john ) <eos>	dislike ( lewis , john ) <eos>
patricia dislikes victor <eos>	dislike ( patricia , victor ) <eos>	dislike ( patricia , victor ) <eos>
eliza likes herself <eos>	like ( eliza , eliza ) <eos>	like ( eliza , eliza ) <eos>
samuel meets grace <eos>	meet ( samuel , grace ) <eos>	meet ( samuel , grace ) <eos>
katherine likes zelda <eos>	like ( katherine , zelda ) <eos>	like ( katherine , zelda ) <eos>
oswald knows yvette <eos>	know ( oswald , yvettte ) <eos>	know ( oswald , yvettte ) <eos>
bob throws henry <eos>	throw ( bob , henry ) <eos>	throw ( bob , henry ) <eos>
claire knows bob <eos>	know ( claire , bob ) <eos>	know ( claire , bob ) <eos>
ursula meets eliza <eos>	meet ( ursula , eliza ) <eos>	meet ( ursula , eliza ) <eos>
eliza sees eliza <eos>	see ( eliza , eliza ) <eos>	see ( eliza , eliza ) <eos>
oswald notices neha <eos>	notice ( oswald , neha ) <eos>	notice ( oswald , neha ) <eos>
xerxes knows yvette <eos>	know ( xerxes , yvettte ) <eos>	know ( xerxes , yvettte ) <eos>
alice dislikes henry <eos>	dislike ( alice , henry ) <eos>	dislike ( alice , henry ) <eos>
eliza meets rachael <eos>	meet ( eliza , rachael ) <eos>	meet ( eliza , rachael ) <eos>
tracy meets francis <eos>	meet ( tracy , francis ) <eos>	meet ( tracy , francis ) <eos>
katherine meets winnifred <eos>	meet ( katherine , winnifred ) <eos>	meet ( katherine , winnifred ) <eos>
rachael likes quinn <eos>	like ( rachael , quinn ) <eos>	like ( rachael , quinn ) <eos>
victor notices katherine <eos>	notice ( victor , katherine ) <eos>	notice ( victor , katherine ) <eos>
isla notices isla <eos>	notice ( isla , isla ) <eos>	notice ( isla , isla ) <eos>
quinn throws alice <eos>	throw ( quinn , alice ) <eos>	throw ( quinn , alice ) <eos>
tracy knows claire <eos>	know ( tracy , claire ) <eos>	know ( tracy , claire ) <eos>
isla meets rachael <eos>	meet ( isla , rachael ) <eos>	meet ( isla , rachael ) <eos>
claire dislikes quinn <eos>	dislike ( claire , quinn ) <eos>	dislike ( claire , quinn ) <eos>
francis throws oswald <eos>	throw ( francis , oswald ) <eos>	throw ( francis , oswald ) <eos>
katherine sees katherine <eos>	see ( katherine , katherine ) <eos>	see ( katherine , katherine ) <eos>
lewis knows patricia <eos>	know ( lewis , patricia ) <eos>	know ( lewis , patricia ) <eos>
francis dislikes neha <eos>	dislike ( francis , neha ) <eos>	dislike ( francis , neha ) <eos>
samuel knows oswald <eos>	know ( samuel , oswald ) <eos>	know ( samuel , oswald ) <eos>
henry likes eliza <eos>	like ( henry , eliza ) <eos>	like ( henry , eliza ) <eos>
katherine throws katherine <eos>	throw ( katherine , katherine ) <eos>	throw ( katherine , katherine ) <eos>
bob meets bob <eos>	meet ( bob , bob ) <eos>	meet ( bob , bob ) <eos>
grace likes margaret <eos>	like ( grace , margaret ) <eos>	like ( grace , margaret ) <eos>
grace sees lewis <eos>	see ( grace , lewis ) <eos>	see ( grace , lewis ) <eos>
winnifred dislikes ursula <eos>	dislike ( winnifred , ursula ) <eos>	dislike ( winnifred , ursula ) <eos>
alice throws eliza <eos>	throw ( alice , eliza ) <eos>	throw ( alice , eliza ) <eos>
patricia notices tracy <eos>	notice ( patricia , tracy ) <eos>	notice ( patricia , tracy ) <eos>
grace knows patricia <eos>	know ( grace , patricia ) <eos>	know ( grace , patricia ) <eos>
eliza throws isla <eos>	throw ( eliza , isla ) <eos>	throw ( eliza , isla ) <eos>
francis notices john <eos>	notice ( francis , john ) <eos>	notice ( francis , john ) <eos>
yvette sees oswald <eos>	see ( yvettte , oswald ) <eos>	see ( yvettte , oswald ) <eos>
daniel likes quinn <eos>	like ( daniel , quinn ) <eos>	like ( daniel , quinn ) <eos>
isla likes herself <eos>	like ( isla , isla ) <eos>	like ( isla , victor ) <eos>
oswald throws victor <eos>	throw ( oswald , victor ) <eos>	throw ( oswald , victor ) <eos>
katherine notices herself <eos>	notice ( katherine , katherine ) <eos>	notice ( katherine , katherine ) <eos>
bob knows neha <eos>	know ( bob , neha ) <eos>	know ( bob , neha ) <eos>
victor dislikes margaret <eos>	dislike ( victor , margaret ) <eos>	dislike ( victor , margaret ) <eos>
alice throws herself <eos>	throw ( alice , alice ) <eos>	throw ( alice , alice ) <eos>
daniel meets himself <eos>	meet ( daniel , daniel ) <eos>	meet ( daniel , daniel ) <eos>
bob meets claire <eos>	meet ( bob , claire ) <eos>	meet ( bob , claire ) <eos>
zelda dislikes john <eos>	dislike ( zelda , john ) <eos>	dislike ( zelda , john ) <eos>
lewis dislikes winnifred <eos>	dislike ( lewis , winnifred ) <eos>	dislike ( lewis , winnifred ) <eos>
tracy notices bob <eos>	notice ( tracy , bob ) <eos>	notice ( tracy , bob ) <eos>
isla throws yvette <eos>	throw ( isla , yvettte ) <eos>	throw ( isla , yvettte ) <eos>
tracy meets oswald <eos>	meet ( tracy , oswald ) <eos>	meet ( tracy , oswald ) <eos>
isla throws daniel <eos>	throw ( isla , daniel ) <eos>	throw ( isla , daniel ) <eos>
francis meets samuel <eos>	meet ( francis , samuel ) <eos>	meet ( francis , samuel ) <eos>
quinn likes tracy <eos>	like ( quinn , tracy ) <eos>	like ( quinn , tracy ) <eos>
