source	target	prediction
winnifred throws herself <eos>	throw ( winnifred , winnifred ) <eos>	throw ( winnifred , zelda ) <eos>
francis knows himself <eos>	know ( francis , francis ) <eos>	know ( francis , xerxes ) <eos>
daniel sees himself <eos>	see ( daniel , daniel ) <eos>	see ( daniel , xerxes ) <eos>
rachael throws herself <eos>	throw ( rachael , rachael ) <eos>	throw ( rachael , zelda ) <eos>
isla meets herself <eos>	meet ( isla , isla ) <eos>	meet ( isla , zelda ) <eos>
daniel knows himself <eos>	know ( daniel , daniel ) <eos>	know ( daniel , xerxes ) <eos>
daniel notices himself <eos>	notice ( daniel , daniel ) <eos>	notice ( daniel , xerxes ) <eos>
samuel likes himself <eos>	like ( samuel , samuel ) <eos>	like ( samuel , xerxes ) <eos>
margaret sees herself <eos>	see ( margaret , margaret ) <eos>	see ( margaret , zelda ) <eos>
quinn sees himself <eos>	see ( quinn , quinn ) <eos>	see ( quinn , xerxes ) <eos>
henry throws himself <eos>	throw ( henry , henry ) <eos>	throw ( henry , xerxes ) <eos>
katherine sees herself <eos>	see ( katherine , katherine ) <eos>	see ( katherine , zelda ) <eos>
patricia sees herself <eos>	see ( patricia , patricia ) <eos>	see ( patricia , zelda ) <eos>
neha likes herself <eos>	like ( neha , neha ) <eos>	like ( neha , zelda ) <eos>
lewis throws himself <eos>	throw ( lewis , lewis ) <eos>	throw ( lewis , xerxes ) <eos>
samuel notices himself <eos>	notice ( samuel , samuel ) <eos>	notice ( samuel , xerxes ) <eos>
winnifred sees herself <eos>	see ( winnifred , winnifred ) <eos>	see ( winnifred , zelda ) <eos>
francis throws himself <eos>	throw ( francis , francis ) <eos>	throw ( francis , xerxes ) <eos>
oswald knows himself <eos>	know ( oswald , oswald ) <eos>	know ( oswald , xerxes ) <eos>
claire dislikes herself <eos>	dislike ( claire , claire ) <eos>	dislike ( claire , zelda ) <eos>
samuel meets himself <eos>	meet ( samuel , samuel ) <eos>	meet ( samuel , xerxes ) <eos>
ursula meets herself <eos>	meet ( ursula , ursula ) <eos>	meet ( ursula , zelda ) <eos>
yvette meets herself <eos>	meet ( yvettte , yvettte ) <eos>	meet ( yvettte , zelda ) <eos>
ursula dislikes herself <eos>	dislike ( ursula , ursula ) <eos>	dislike ( ursula , zelda ) <eos>
claire throws herself <eos>	throw ( claire , claire ) <eos>	throw ( claire , zelda ) <eos>
winnifred dislikes herself <eos>	dislike ( winnifred , winnifred ) <eos>	dislike ( winnifred , zelda ) <eos>
rachael notices herself <eos>	notice ( rachael , rachael ) <eos>	notice ( rachael , zelda ) <eos>
eliza likes herself <eos>	like ( eliza , eliza ) <eos>	like ( eliza , zelda ) <eos>
john notices himself <eos>	notice ( john , john ) <eos>	notice ( john , xerxes ) <eos>
isla dislikes herself <eos>	dislike ( isla , isla ) <eos>	dislike ( isla , zelda ) <eos>
oswald dislikes himself <eos>	dislike ( oswald , oswald ) <eos>	dislike ( oswald , xerxes ) <eos>
alice knows herself <eos>	know ( alice , alice ) <eos>	know ( alice , zelda ) <eos>
henry likes himself <eos>	like ( henry , henry ) <eos>	like ( henry , xerxes ) <eos>
quinn meets himself <eos>	meet ( quinn , quinn ) <eos>	meet ( quinn , xerxes ) <eos>
lewis knows himself <eos>	know ( lewis , lewis ) <eos>	know ( lewis , xerxes ) <eos>
rachael dislikes herself <eos>	dislike ( rachael , rachael ) <eos>	dislike ( rachael , zelda ) <eos>
grace throws herself <eos>	throw ( grace , grace ) <eos>	throw ( grace , zelda ) <eos>
katherine meets herself <eos>	meet ( katherine , katherine ) <eos>	meet ( katherine , zelda ) <eos>
rachael knows herself <eos>	know ( rachael , rachael ) <eos>	know ( rachael , zelda ) <eos>
daniel meets himself <eos>	meet ( daniel , daniel ) <eos>	meet ( daniel , xerxes ) <eos>
patricia notices herself <eos>	notice ( patricia , patricia ) <eos>	notice ( patricia , zelda ) <eos>
eliza meets herself <eos>	meet ( eliza , eliza ) <eos>	meet ( eliza , zelda ) <eos>
daniel throws himself <eos>	throw ( daniel , daniel ) <eos>	throw ( daniel , xerxes ) <eos>
francis sees himself <eos>	see ( francis , francis ) <eos>	see ( francis , xerxes ) <eos>
john meets himself <eos>	meet ( john , john ) <eos>	meet ( john , xerxes ) <eos>
victor throws himself <eos>	throw ( victor , victor ) <eos>	throw ( victor , xerxes ) <eos>
margaret meets herself <eos>	meet ( margaret , margaret ) <eos>	meet ( margaret , zelda ) <eos>
lewis notices himself <eos>	notice ( lewis , lewis ) <eos>	notice ( lewis , xerxes ) <eos>
neha throws herself <eos>	throw ( neha , neha ) <eos>	throw ( neha , zelda ) <eos>
samuel sees himself <eos>	see ( samuel , samuel ) <eos>	see ( samuel , xerxes ) <eos>
oswald notices himself <eos>	notice ( oswald , oswald ) <eos>	notice ( oswald , xerxes ) <eos>
patricia throws herself <eos>	throw ( patricia , patricia ) <eos>	throw ( patricia , zelda ) <eos>
katherine likes herself <eos>	like ( katherine , katherine ) <eos>	like ( katherine , zelda ) <eos>
ursula notices herself <eos>	notice ( ursula , ursula ) <eos>	notice ( ursula , zelda ) <eos>
henry knows himself <eos>	know ( henry , henry ) <eos>	know ( henry , xerxes ) <eos>
quinn knows himself <eos>	know ( quinn , quinn ) <eos>	know ( quinn , xerxes ) <eos>
yvette sees herself <eos>	see ( yvettte , yvettte ) <eos>	see ( yvettte , zelda ) <eos>
john throws himself <eos>	throw ( john , john ) <eos>	throw ( john , xerxes ) <eos>
margaret throws herself <eos>	throw ( margaret , margaret ) <eos>	throw ( margaret , zelda ) <eos>
neha sees herself <eos>	see ( neha , neha ) <eos>	see ( neha , zelda ) <eos>
lewis likes himself <eos>	like ( lewis , lewis ) <eos>	like ( lewis , xerxes ) <eos>
john likes himself <eos>	like ( john , john ) <eos>	like ( john , xerxes ) <eos>
yvette likes herself <eos>	like ( yvettte , yvettte ) <eos>	like ( yvettte , zelda ) <eos>
claire notices herself <eos>	notice ( claire , claire ) <eos>	notice ( claire , zelda ) <eos>
claire sees herself <eos>	see ( claire , claire ) <eos>	see ( claire , zelda ) <eos>
winnifred likes herself <eos>	like ( winnifred , winnifred ) <eos>	like ( winnifred , zelda ) <eos>
isla sees herself <eos>	see ( isla , isla ) <eos>	see ( isla , zelda ) <eos>
quinn dislikes himself <eos>	dislike ( quinn , quinn ) <eos>	dislike ( quinn , xerxes ) <eos>
samuel throws himself <eos>	throw ( samuel , samuel ) <eos>	throw ( samuel , xerxes ) <eos>
john knows himself <eos>	know ( john , john ) <eos>	know ( john , xerxes ) <eos>
claire likes herself <eos>	like ( claire , claire ) <eos>	like ( claire , zelda ) <eos>
alice notices herself <eos>	notice ( alice , alice ) <eos>	notice ( alice , zelda ) <eos>
daniel dislikes himself <eos>	dislike ( daniel , daniel ) <eos>	dislike ( daniel , xerxes ) <eos>
bob notices himself <eos>	notice ( bob , bob ) <eos>	notice ( bob , xerxes ) <eos>
