source	target	prediction
every prion likes neha <eos>	all x . ( prion ( x ) -> like ( x , neha ) ) <eos>	all x . ( person ( x ) -> know ( x , neha ) ) <eos>
every actor dislikes grace <eos>	all x . ( actor ( x ) -> dislike ( x , grace ) ) <eos>	all x . ( actor ( x ) -> meet ( x , eliza ) ) <eos>
every person likes daniel <eos>	all x . ( person ( x ) -> like ( x , daniel ) ) <eos>	all x . ( person ( x ) -> meet ( x , daniel ) ) <eos>
every turtle meets rachael <eos>	all x . ( turtle ( x ) -> meet ( x , rachael ) ) <eos>	all x . ( prion ( x ) -> meet ( x , henry ) ) <eos>
every turtle notices katherine <eos>	all x . ( turtle ( x ) -> notice ( x , katherine ) ) <eos>	all x . ( turtle ( x ) -> see ( x , francis ) ) <eos>
ursula dislikes rachael <eos>	dislike ( ursula , rachael ) <eos>	dislike ( ursula , rachael ) <eos>
margaret knows claire <eos>	know ( margaret , claire ) <eos>	know ( margaret , claire ) <eos>
zelda knows katherine <eos>	know ( zelda , katherine ) <eos>	know ( zelda , katherine ) <eos>
john meets quinn <eos>	meet ( john , quinn ) <eos>	meet ( john , quinn ) <eos>
rachael meets oswald <eos>	meet ( rachael , oswald ) <eos>	meet ( rachael , oswald ) <eos>
every turtle knows daniel <eos>	all x . ( turtle ( x ) -> know ( x , daniel ) ) <eos>	all x . ( turtle ( x ) -> like ( x , daniel ) ) <eos>
every person meets katherine <eos>	all x . ( person ( x ) -> meet ( x , katherine ) ) <eos>	all x . ( person ( x ) -> meet ( x , francis ) ) <eos>
someone sees francis <eos>	exists x . ( person ( x ) & see ( x , francis ) ) <eos>	exists x . ( person ( x ) & see ( x , francis ) ) <eos>
every turtle meets john <eos>	all x . ( turtle ( x ) -> meet ( x , john ) ) <eos>	all x . ( turtle ( x ) -> meet ( x , victor ) ) <eos>
every person meets winnifred <eos>	all x . ( person ( x ) -> meet ( x , winnifred ) ) <eos>	all x . ( person ( x ) -> meet ( x , claire ) ) <eos>
rachael meets oswald <eos>	meet ( rachael , oswald ) <eos>	meet ( rachael , oswald ) <eos>
eliza meets bob <eos>	meet ( eliza , bob ) <eos>	meet ( eliza , bob ) <eos>
claire dislikes samuel <eos>	dislike ( claire , samuel ) <eos>	dislike ( claire , samuel ) <eos>
xerxes meets henry <eos>	meet ( xerxes , henry ) <eos>	meet ( xerxes , henry ) <eos>
quinn meets francis <eos>	meet ( quinn , francis ) <eos>	meet ( quinn , francis ) <eos>
grace knows yvette <eos>	know ( grace , yvettte ) <eos>	know ( grace , yvettte ) <eos>
winnifred notices eliza <eos>	notice ( winnifred , eliza ) <eos>	notice ( winnifred , eliza ) <eos>
oswald notices katherine <eos>	notice ( oswald , katherine ) <eos>	notice ( oswald , katherine ) <eos>
henry dislikes quinn <eos>	dislike ( henry , quinn ) <eos>	dislike ( henry , quinn ) <eos>
victor notices claire <eos>	notice ( victor , claire ) <eos>	notice ( victor , claire ) <eos>
daniel knows victor <eos>	know ( daniel , victor ) <eos>	know ( daniel , victor ) <eos>
ursula throws katherine <eos>	throw ( ursula , katherine ) <eos>	throw ( ursula , katherine ) <eos>
bob likes eliza <eos>	like ( bob , eliza ) <eos>	like ( bob , eliza ) <eos>
samuel knows patricia <eos>	know ( samuel , patricia ) <eos>	know ( samuel , patricia ) <eos>
henry likes samuel <eos>	like ( henry , samuel ) <eos>	like ( henry , samuel ) <eos>
ursula knows margaret <eos>	know ( ursula , margaret ) <eos>	know ( ursula , margaret ) <eos>
xerxes knows tracy <eos>	know ( xerxes , tracy ) <eos>	know ( xerxes , tracy ) <eos>
ursula notices claire <eos>	notice ( ursula , claire ) <eos>	notice ( ursula , claire ) <eos>
ursula knows francis <eos>	know ( ursula , francis ) <eos>	know ( ursula , francis ) <eos>
margaret sees zelda <eos>	see ( margaret , zelda ) <eos>	see ( margaret , zelda ) <eos>
